it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
510,50,17,8, 25, 12,38
511,50,17,8, 25, 12,38
512,51,17,9, 25, 13,38
513,51,17,9, 25, 13,38
514,51,17,9, 25, 13,38
515,51,17,9, 25, 13,38
516,51,17,9, 25, 13,38
517,51,17,9, 25, 13,38
518,51,17,9, 25, 13,38
519,51,17,9, 25, 13,38
520,51,17,9, 25, 13,38
521,51,17,9, 25, 13,38
522,51,17,9, 25, 13,38
523,51,17,9, 25, 13,38
524,51,17,9, 25, 13,38
525,51,17,9, 25, 13,38
526,51,17,9, 25, 13,38
527,51,17,9, 25, 13,38
528,51,17,9, 25, 13,38
529,51,17,9, 25, 13,38
530,51,17,9, 25, 13,38
531,51,17,9, 25, 13,38
532,51,17,9, 25, 13,38
533,51,17,9, 25, 13,38
534,51,17,9, 25, 13,38
535,51,17,9, 25, 13,38
536,51,17,9, 25, 13,38
537,51,17,9, 25, 13,38
538,51,17,9, 25, 13,38
539,51,17,9, 25, 13,38
540,51,17,9, 25, 13,38
541,51,17,9, 25, 13,38
542,51,17,9, 25, 13,38
543,51,17,9, 25, 13,38
544,51,17,9, 25, 13,38
545,51,17,9, 25, 13,38
546,51,17,9, 25, 13,38
547,51,17,9, 25, 13,38
548,51,17,9, 25, 13,38
549,51,17,9, 25, 13,38
550,51,17,9, 25, 13,38
551,51,17,9, 25, 13,38
552,51,17,9, 25, 13,38
553,51,17,9, 25, 13,38
554,51,17,9, 25, 13,38
555,51,17,9, 25, 13,38
556,51,17,9, 25, 13,38
557,51,17,9, 25, 13,38
558,51,17,9, 25, 13,38
559,51,17,9, 25, 13,38
560,51,17,9, 25, 13,38
561,51,17,9, 25, 13,38
562,51,17,9, 25, 13,38
563,51,17,9, 25, 13,38
564,51,17,9, 25, 13,38
565,51,17,9, 25, 13,38
566,51,17,9, 25, 13,38
567,51,17,9, 25, 13,38
568,51,17,9, 25, 13,38
569,51,17,9, 25, 13,38
570,51,17,9, 25, 13,38
571,51,17,9, 25, 13,38
572,51,17,9, 25, 13,38
573,51,17,9, 25, 13,38
574,51,17,9, 25, 13,38
575,51,17,9, 25, 13,38
576,51,17,9, 25, 13,38
577,51,17,9, 25, 13,38
578,51,17,9, 25, 13,38
579,51,17,9, 25, 13,38
580,51,17,9, 25, 13,38
581,51,17,9, 25, 13,38
582,51,17,9, 25, 13,38
583,51,17,9, 25, 13,38
584,51,17,9, 25, 13,38
585,51,17,9, 25, 13,38
586,51,17,9, 25, 13,38
587,51,17,9, 25, 13,38
588,51,17,9, 25, 13,38
589,51,17,9, 25, 13,38
590,51,17,9, 25, 13,38
591,51,17,9, 25, 13,38
592,51,17,9, 25, 13,38
593,51,17,9, 25, 13,38
594,51,17,9, 25, 13,38
595,51,17,9, 25, 13,38
596,51,17,9, 25, 13,38
597,51,17,9, 25, 13,38
598,51,17,9, 25, 13,38
599,51,17,9, 25, 13,38
600,51,17,9, 25, 13,38
601,51,17,9, 25, 13,38
602,51,17,9, 25, 13,38
